Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202012,04,181000,015,0185,37620 ,00000 ,28068 ,999,29420, ,1,86401      ,4,8,12,Kingman,372,372,56133997,11,22,2805736,4,13,1085706,0,0,0,372,372,56133997,11,22,2805736,4,13,1085706,0,0,0
202012,04,189000,015,0188,39370 ,00000 ,52527 ,999,29420, ,1,86403      ,4,8,12,Lake Havasu City,342,342,72236678,28,56,4975949,7,22,1337176,0,0,0,342,342,72236678,28,56,4975949,7,22,1337176,0,0,0
202012,04,193000,013,0196,41330 ,00000 ,5476 ,429,38060, , ,85340      ,4,8,12,Litchfield Park,21,21,6821792,0,0,0,4,14,3219900,0,0,0,21,21,6821792,0,0,0,4,14,3219900,0,0,0
202012,04,201000,019,0210,44270 ,00000 ,34961 ,536,46060,2, ,85653      ,4,8,12,Marana town,913,913,291647336,0,0,0,0,0,0,0,0,0,913,913,291647336,0,0,0,0,0,0,0,0,0
202012,04,205000,013,    ,99990 ,00000 ,284404 ,429,38060, , ,85008      ,4,8,12,Maricopa County Unincorporated Area,2579,2579,716290287,0,0,0,0,0,0,0,0,0,2579,2579,716290287,0,0,0,0,0,0,0,0,0
202012,04,205100,021,0212,44410 ,00000 ,43482 ,429,38060, , ,85238      ,4,8,12,Maricopa,1514,1514,371171649,0,0,0,0,0,0,0,0,0,1514,1514,371171649,0,0,0,0,0,0,0,0,0
202012,04,209000,013,0215,46000 ,00000 ,439041 ,429,38060, ,1,852111466  ,4,8,12,Mesa,2826,2826,804771282,25,50,3074906,0,0,0,12,1608,166663886,2826,2826,804771282,25,50,3074906,0,0,0,12,1608,166663886
202012,04,217000,015,    ,99990 ,00000 ,75230 ,999,29420, , ,864027000  ,4,8,12,Mohave County Unincorporated Area,260,260,76392853,1,2,289530,0,0,0,0,0,0,260,260,76392853,1,2,289530,0,0,0,0,0,0
202012,04,221000,017,    ,99990 ,00000 ,68097 ,999,99999, , ,85901      ,4,8,0,Navajo County Unincorporated Area,157,157,29961806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,04,229000,019,0238,51600 ,00000 ,41011 ,536,46060, , ,85737      ,4,8,12,Oro Valley town,385,385,121996345,0,0,0,0,0,0,0,0,0,385,385,121996345,0,0,0,0,0,0,0,0,0
