@type|@id|name|name:en|place|wikidata|@lat|@lon
way|15752561|Boidarkin Island||islet||57.0104256|-135.3123627
way|15752563|Kutkan Island||islet|Q49649811|57.0401071|-135.3282071
way|15752593|Liar Rock||islet||57.0107956|-135.3635787
way|15752710|Morne Island||islet||57.0370461|-135.3220728
way|15752712|Turning Island||island||57.0433010|-135.3368244
way|15752718|Kirbas Island||islet||56.8042621|-135.4118042
way|15752720|Nelson Island||islet||57.7542812|-135.7907134
way|15752751|Hogan Island||island|Q49641289|57.7075690|-136.2580368
way|15752773|Arthur Island||islet||57.4483013|-135.5801316
way|15752813|Rainier Island||islet||57.9270056|-135.1806274
way|15752838|Fitz Island||islet|Q49638121|57.6885576|-136.1230430
way|15752904|Rowe Island||islet||57.6391168|-136.0992498
way|15752916|Road Island||islet||56.9257450|-135.3526764
way|15752923|Nadezhda Island||islet||57.1979866|-135.6038437
way|15752983|Bear Bay Island||islet||57.4248791|-135.5719146
way|15752984|Crow Island||island||57.1076691|-135.4771704
way|15752997|Sushilna Island||islet||57.8344975|-136.3793182
way|15753033|Emgeten Island||islet||57.0004425|-135.3282089
way|15753151|Snipe Island||islet||57.7290574|-136.2345313
way|15753157|Korga Island||islet||56.9300995|-135.3906250
way|15753180|Lock Island||islet||57.7249547|-136.1995116
way|15753198|Ulinoi Island||islet||56.9320813|-135.3977433
way|15753212|Port Island||islet|Q49670222|57.6938493|-136.1318900
way|15753309|Tava Island||island||56.8262577|-135.4780273
way|15753310|Scow Island||islet||56.7020512|-135.2893295
way|15753382|Gauntlet Island||islet||57.9101121|-136.5480517
way|15753397|Prince Island||islet||57.4787507|-135.2771561
way|15753413|Vorota Island||islet||57.6109424|-136.1056224
way|15753423|Double Island||islet||57.1893940|-135.5777130
way|15753432|Peisar Island||island||56.8871555|-135.4394378
way|15753460|Neva Island||island||57.0578967|-135.4083324
way|15753560|Ramp Island||islet|Q49674077|57.5609537|-136.0890050
way|15753576|Little Wrangell Island||islet||56.8477287|-135.4940262
way|15753602|Entrance Islet||islet||56.8652782|-135.5250855
way|15753605|Middle Island||island||57.1016794|-135.4530856
way|15753616|Torsar Island||islet||56.8488770|-135.4253006
way|15753708|Edward Island||islet||57.6663140|-136.2546852
way|15753733|Brady Island||islet||57.1848106|-135.5562820
way|15753767|Tiurpa Island||islet||56.8128624|-135.4224090
way|15753801|Impassible Island||islet||56.8316861|-135.5419083
